newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
original204213931045.nwk	finetuned204213931045.nwk	5	0	22	22	1.0	22	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.4632	1.0	8.0	36.0	0.7778	38	0.9210526315789473	3	35	0.9211	0	0	False	10.0	23	phylo	True	False	False	False	10	19	1	False	False	False	
original204157253161.nwk	finetuned204157253161.nwk	5	0	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	8	3	phylo	True	False	False	True	10	19	1	False	False	False	
original204226924817.nwk	finetuned204226924817.nwk	5	0	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.6733	2.51	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	4	3	phylo	True	False	False	False	10	17	1	False	False	False	
original204205895955.nwk	finetuned204205895955.nwk	5	0	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	2.0176	1.55	4.0	20.0	0.8	22	0.9545454545454546	1	21	0.9545	0	0	True	6	14	phylo	True	False	False	False	10	20	1	False	False	False	
original204215682912.nwk	finetuned204215682912.nwk	5	0	25	25	0.96	25	0	0.04	0.9967	0.04	0.04	0.9967	0.9967	0.0	0.0	0	0	0	0	1.1848	1.0	4.0	40.0	0.9	42	0.9761904761904762	1	41	0.9762	0	0	False	10.0	25	ete3	True	False	False	False	29	13	4	False	False	True	
original204229058321.nwk	finetuned204229058321.nwk	5	0	19	19	0.9474	18	1	0.9474	0.9474	0.0526	0.0526	0.9972	0.9972	0.0	0.0	0	0	0	0	0.6144	1.0	2.0	30.0	0.9333	32	0.96875	1	31	0.9688	0	0	False	10.0	19	ete3	True	False	False	False	64	8	10	False	False	False	
original204222612643.nwk	finetuned204222612643.nwk	5	0	23	23	1.0	23	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.8696	1.0	8.0	40.0	0.8	42	0.9047619047619048	4	38	0.9048	0	0	False	10.0	23	phylo	True	False	False	False	10	18	1	False	False	False	
original204153618932.nwk	finetuned204153618932.nwk	5	0	22	22	1.0	22	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.8182	1.0	5.0	35.0	0.8571	38	0.9473684210526315	2	36	0.9474	1	1	False	10.0	22	ete3	True	False	False	True	100	15	5	False	False	False	
original204227950436.nwk	finetuned204227950436.nwk	5	0	21	21	1.0	21	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.9333	1.0	5.0	33.0	0.8485	37	0.918918918918919	3	34	0.9189	2	2	False	10.0	21	ete3	True	False	False	True	87	16	4	False	False	False	
original204209941629.nwk	finetuned204209941629.nwk	5	0	22	22	0.9545	21	0	0.6364	0.9545	0.6364	0.6667	1.0	0.9545	0.0	0.0	0	0	0	0	0.9333	1.0	4.0	30.0	0.8667	34	0.9705882352941176	1	33	0.9706	2	2	False	10.0	23	phylo	True	False	False	True	10	19	1	False	False	False	
original204156571232.nwk	finetuned204156571232.nwk	5	0	4	7	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	False	10.0	4	ete3	True	False	False	True	45	15	5	False	False	True	
original204213386780.nwk	finetuned204213386780.nwk	5	0	4	4	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	3.975	3.975	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	True	9	4	phylo	True	False	False	False	10	18	1	False	False	False	
original204227506333.nwk	finetuned204227506333.nwk	5	0	6	6	1.0	6	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	6.0	1.0	8	1.0	0	8	1.0	0	0	True	3	6	ete3	True	False	False	True	41	13	2	False	False	True	
original204203437192.nwk	finetuned204203437192.nwk	5	0	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0307	0.0	-0.43	-0.43	0	0	0.6219	0.02	1.0	21.0	0.9524	23	1.0	0	23	1.0	0	0	True	2	14	phylo	True	False	False	False	10	17	1	False	False	False	
original204151836114.nwk	finetuned204151836114.nwk	5	0	4	4	1.0	4	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	2.0	1.0	4	1.0	0	4	1.0	0	0	False	10.0	4	ete3	True	False	False	False	10	8	2	False	False	True	
original204229483809.nwk	finetuned204229483809.nwk	5	0	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.7559	1.22	3.0	31.0	0.9032	34	0.9411764705882353	2	32	0.9412	2	2	True	3	19	ete3	True	False	False	True	63	18	7	False	False	False	
original204156094490.nwk	finetuned204156094490.nwk	5	0	7	7	1.0	7	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.1848	0.51	1.0	7.0	0.8571	9	1.0	0	9	1.0	0	0	True	4	7	phylo	True	False	False	True	10	18	1	False	False	False	
