newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
original203319649130.nwk	base203319649130.nwk	5	0	19	18	0.8421	16	2	3.6316	0.8421	0.9474	1.0	0.9956	0.9432	7.2892	7.5461	-7.2892	-7.5461	0	0	27.9239	28.3486	13.0	21.0	0.381	23	0.8260869565217391	4	19	0.8261	0	0	True	7	21	ete3	False	False	False	False	90	9	3	False	False	False	
original204104246022.nwk	finetuned204104246022.nwk	5	0	18	18	1.0	18	0	0.0	1.0	0.0	0.0	1.0	1.0	0.5	0.5	0	0	0.5	0.5	3.5621	3.5	19.0	27.0	0.2963	30	0.7	9	21	0.7	1	1	False	10.0	18	phylo	False	False	False	True	10	16	7	False	False	False	
original204123779120.nwk	finetuned204123779120.nwk	5	0	13	4	0.2308	3	1	15.8462	0.2308	14.0	45.5	0.99	0.3046	0.5	0.5	0	0	0.5	0.5	1.3333	1.5	NA	0.0	None	2	1.0	0	2	1.0	0	0	False	10.0	13	phylo	False	False	False	False	10	19	2	False	False	False	
original204118451786.nwk	finetuned204118451786.nwk	5	0	3	3	1.0	3	0	0.0	1.0	0.0	0.0	1.0	1.0	4.555	4.2883	0	0	4.555	4.2883	8.5355	8.595	NA	0.0	None	2	1.0	0	2	1.0	0	0	True	9	3	ete3	False	False	False	False	68	18	4	False	False	False	
original204113759131.nwk	finetuned204113759131.nwk	5	0	20	20	0.9	19	1	0.95	0.9471	0.15	0.15	0.9915	0.9915	1.5	1.5	-1.5	-1.5	0	0	12.9477	11.5	16.0	26.0	0.3846	31	0.7096774193548387	9	22	0.7097	1	1	False	10.0	20	ete3	False	False	False	True	29	10	4	False	False	True	
original204106326332.nwk	finetuned204106326332.nwk	5	0	13	14	0.9231	12	1	2.0	0.9231	0.0769	0.0769	0.9972	0.9972	1.22	1.22	-1.22	-1.22	0	0	5.5918	5.82	8.0	16.0	0.5	18	0.8333333333333334	3	15	0.8333	1	1	False	10.0	13	ete3	False	False	False	True	33	17	6	False	False	True	
original204134074166.nwk	finetuned204134074166.nwk	5	0	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0	0	1.0	1.0	5.1099	5.0	13.0	21.0	0.381	23	0.7391304347826086	6	17	0.7391	0	0	False	10.0	14	ete3	False	False	False	False	52	17	1	False	False	False	
original204124519025.nwk	finetuned204124519025.nwk	5	0	24	24	0.9583	24	0	0.0417	0.9975	0.0417	0.0417	0.9975	0.9975	0.5	0.5	0	0	0.5	0.5	3.8498	4.0	17.0	33.0	0.4848	37	0.8108108108108109	7	30	0.8108	2	2	True	1	24	phylo	False	False	False	True	10	19	2	False	False	False	
original204109528979.nwk	finetuned204109528979.nwk	5	0	9	9	1.0	9	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.2222	1.0	7.0	11.0	0.3636	13	0.7692307692307693	3	10	0.7692	0	0	False	10.0	9	phylo	False	False	False	False	10	20	7	False	False	False	
original204108796473.nwk	finetuned204108796473.nwk	5	0	20	19	0.9	18	1	1.7	0.9	0.5	0.5263	0.9979	0.948	3.6617	3.415	0	0	3.6617	3.415	30.3224	29.79	12.0	20.0	0.4	23	0.9130434782608695	2	21	0.913	1	1	True	9	20	phylo	False	False	False	True	10	19	1	False	False	False	
