newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
newick200053053460.nwk	gpt-4.1_finetuned_nwk_124250416392.nwk	5	5	20	20	0.9	18	2	1.4	0.9	0.15	0.15	0.9885	0.9885	0.0	0.0	0	0	0	0	2.7136	2.39	9.0	29.0	0.6897	31	0.8709677419354839	4	27	0.871	0	0	True	3	20	phylo	True	False	False	False	10	16	1	False	False	False	
newick200053053460.nwk	gpt-4.1_topo_165357738147.nwk	5	5	20	20	0.95	19	1	1.0	0.95	0.05	0.05	0.9976	0.9976	0.0058	0.0	-0.11	-0.11	0	0	5.2284	5.76	7.0	27.0	0.7407	29	0.9655172413793104	1	28	0.9655	0	0	True	3	20	phylo	True	False	False	False	10	16	1	False	False	False	
newick200053053460.nwk	gpt-5_topo_163428934710.nwk	5	5	20	20	1.0	20	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.7552	2.39	6.0	34.0	0.8235	36	0.9166666666666666	3	33	0.9167	0	0	True	3	20	phylo	True	False	False	False	10	16	1	False	False	False	
newick200053749793.nwk	gpt-4.1_finetuned_nwk_125047747990.nwk	5	5	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	0.8305	0.0	-2.51	-1.965	2.87	2.87	8.0917	7.27	6.0	28.0	0.7857	33	0.8787878787878788	4	29	0.8788	3	3	True	10	19	phylo	True	False	False	True	10	18	1	False	False	False	
newick200053749793.nwk	gpt-4.1_topo_183636692151.nwk	5	5	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	0.2379	0.0	0	0	4.52	4.52	10.5126	10.21	4.0	24.0	0.8333	29	0.9655172413793104	1	28	0.9655	3	3	True	10	19	phylo	True	False	False	True	10	18	1	False	False	False	
newick200053749793.nwk	gpt-5_topo_183656433971.nwk	5	5	19	18	0.9474	18	0	0.5263	0.9474	0.5263	0.5556	1.0	0.9474	0.0	0.0	0	0	0	0	6.0596	3.89	9.0	25.0	0.64	29	0.8620689655172413	4	25	0.8621	3	3	True	10	19	phylo	True	False	False	True	10	18	1	False	False	False	
newick200054263583.nwk	gpt-4.1_finetuned_nwk_125117637139.nwk	5	5	14	14	0.9286	13	1	0.6429	0.9286	0.0714	0.0714	0.9929	0.9929	0.0	0.0	0	0	0	0	1.3846	2.0	2.0	18.0	0.8889	21	0.9523809523809523	1	20	0.9524	2	2	False	10.0	14	phylo	True	False	False	True	10	13	1	False	False	False	
newick200054263583.nwk	gpt-4.1_topo_184019657673.nwk	5	5	14	14	0.9286	13	1	0.7857	0.9286	0.1429	0.1429	0.987	0.987	0.0	0.0	0	0	0	0	0.7436	1.0	6.0	18.0	0.6667	21	0.8571428571428571	3	18	0.8571	2	2	False	10.0	14	phylo	True	False	False	True	10	13	1	False	False	False	
newick200054263583.nwk	gpt-5_topo_184039841489.nwk	5	5	14	14	1.0	14	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.2418	1.0	7.0	21.0	0.6667	24	0.8333333333333334	4	20	0.8333	2	2	False	10.0	14	phylo	True	False	False	True	10	13	1	False	False	False	
newick200054726049.nwk	gpt-4.1_finetuned_nwk_125140285517.nwk	5	5	18	18	1.0	18	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.4444	0.0	4.0	30.0	0.8667	32	0.9375	2	30	0.9375	0	0	False	10.0	18	ete3	True	False	False	False	67	17	1	False	False	True	
