newick1	newick2	format1	format2	count_taxa1	count_taxa2	correct_taxa_ratio	count_equal_length	count_unequal_length	mean_ham_dist	mean_ham_ratio	mean_edit_dist	mean_edit_dist_total	mean_edit_ratio	mean_edit_ratio_total	mean_abs_diff_leaf_dists	median_abs_diff_leaf_dists	mean_neg_diff_leaf_dists	median_neg_diff_leaf_dists	mean_pos_diff_leaf_dists	median_pos_diff_leaf_dists	mean_pairwise_dist_diff	median_pairwise_dist_diff	rf_dist	max_rf_dist	rf_ratio	count_orig_edges	ref_edges_in_source	count_missing_edges	count_common_edges	correct_edge_ratio	count_multifurcations_original	count_multifurcations_generated	random_distances	max_distance	amount_taxa	package	branch_lengths_displayed	circular_tree	right_to_left_orientation	multifurcations_allowed	branch_vertical_margin[px]	fontsize	linewidth[px]	taxa_only	topo_only	align_taxa	
newick203318783306.nwk	gpt-4.1_finetuned_nwk_122014667378.nwk	5	5	11	10	0.9091	10	0	0.7273	0.9091	0.7273	0.8	1.0	0.9091	0.0	0.0	0	0	0	0	1.4222	1.0	3.0	11.0	0.7273	14	0.9285714285714286	1	13	0.9286	1	1	True	1	11	ete3	False	False	False	True	34	8	2	False	False	False	
newick203318783306.nwk	gpt-4.1_topo_184708286648.nwk	5	5	11	11	1.0	11	0	0.0	1.0	0.0	0.0	1.0	1.0	0.4455	0.5	0	0	0.49	0.5	3.1782	2.8	3.0	11.0	0.7273	14	1.0	0	14	1.0	1	1	True	1	11	ete3	False	False	False	True	34	8	2	False	False	False	
newick203318783306.nwk	gpt-5_topo_184722515416.nwk	5	5	11	11	1.0	11	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.3273	0.0	1.0	15.0	0.9333	18	0.9444444444444444	1	17	0.9444	1	1	True	1	11	ete3	False	False	False	True	34	8	2	False	False	False	
newick203319530882.nwk	gpt-4.1_finetuned_nwk_123401227163.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.6667	0.6667	-0.6667	-0.6667	0	0	2.75	2.6667	0.0	10.0	1.0	12	1.0	0	12	1.0	0	0	False	10.0	8	ete3	False	False	False	False	39	19	10	False	False	False	
newick203319530882.nwk	gpt-4.1_topo_184855466591.nwk	5	5	8	8	1.0	8	0	0.0	1.0	0.0	0.0	1.0	1.0	0.67	0.67	-0.67	-0.67	0	0	3.1825	3.015	0.0	10.0	1.0	12	1.0	0	12	1.0	0	0	False	10.0	8	ete3	False	False	False	False	39	19	10	False	False	False	
newick203319530882.nwk	gpt-5_topo_184907235315.nwk	5	5	8	8	0.875	7	1	2.75	0.875	0.5	0.5	0.9808	0.9808	0.6667	0.6667	-0.6667	-0.6667	0	0	3.3016	3.0	2.0	8.0	0.75	10	0.9	1	9	0.9	0	0	False	10.0	8	ete3	False	False	False	False	39	19	10	False	False	False	
newick203319649130.nwk	gpt-4.1_finetuned_nwk_123425910312.nwk	5	5	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	3.1868	2.81	0	0	3.1868	2.81	25.4343	25.62	8.0	28.0	0.7143	30	0.9333333333333333	2	28	0.9333	0	0	True	7	21	ete3	False	False	False	False	90	9	3	False	False	False	
newick203319649130.nwk	gpt-4.1_topo_185034345284.nwk	5	5	19	19	0.9474	18	1	1.1053	0.9474	0.0526	0.0526	0.9975	0.9975	3.6133	3.29	0	0	3.6133	3.29	27.6152	28.9	8.0	22.0	0.6364	24	1.0	0	24	1.0	0	0	True	7	21	ete3	False	False	False	False	90	9	3	False	False	False	
newick203319649130.nwk	gpt-5_topo_185051766201.nwk	5	9	19	19	1.0	19	0	0.0	1.0	0.0	0.0	1.0	1.0	3.1868	2.81	0	0	3.1868	2.81	23.8904	24.78	8.0	30.0	0.7333	32	0.90625	3	29	0.9062	0	0	True	7	21	ete3	False	False	False	False	90	9	3	False	False	False	
newick203319872302.nwk	gpt-4.1_finetuned_nwk_123452410443.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.6	1.0	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	False	10.0	5	phylo	False	False	False	False	10	20	9	False	False	False	
newick203319872302.nwk	gpt-4.1_topo_185339822509.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	1.2	2.0	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	False	10.0	5	phylo	False	False	False	False	10	20	9	False	False	False	
newick203319872302.nwk	gpt-5_topo_185350281584.nwk	5	5	5	5	1.0	5	0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	4.0	1.0	6	1.0	0	6	1.0	0	0	False	10.0	5	phylo	False	False	False	False	10	20	9	False	False	False	
newick203320225378.nwk	gpt-4.1_finetuned_nwk_123514351707.nwk	5	5	16	16	0.9375	16	0	0.125	0.9926	0.125	0.125	0.9926	0.9926	4.4127	4.3	0	0	4.4127	4.3	29.475	31.55	2.0	24.0	0.9167	26	0.9615384615384616	1	25	0.9615	0	0	True	10	16	phylo	False	False	False	True	10	16	9	False	False	False	
newick203320225378.nwk	gpt-4.1_topo_185549936748.nwk	5	5	16	16	1.0	16	0	0.0	1.0	0.0	0.0	1.0	1.0	5.5275	5.295	0	0	5.5275	5.295	34.9191	38.055	5.0	21.0	0.7619	23	1.0	0	23	1.0	0	0	True	10	16	phylo	False	False	False	True	10	16	9	False	False	False	
